feature,importance
gap_last5_mean,3.1211562200174443
amp_trend,2.7550981948314535
log1p_cnt_lt20_10min,2.7507453659669614
azimuth,2.442200822910823
cnt_lt20_10min,2.393120897633531
gap_prev_sec_airport,2.0245171698339886
ratio_lt20_5_over_30,1.8202576116493256
dist_last3_mean,1.7866774820854074
share_cg_10min,1.7815732088229292
elapsed_per_rank,1.7740982133557925
share_cg_30min,1.7620976391883854
min_dist_30min,1.6589927423632125
log1p_elapsed_sec,1.6445215090917615
dist,1.5683869152005743
gap_last3_mean,1.5555822439055622
dist_trend,1.5294378362119598
fatigue_score,1.4828920338262492
season,1.4359578341905224
log1p_gap_prev_sec_airport,1.3782199316124202
log1p_rank_in_alert,1.3774568727518273
gap_vs_mean,1.373350516954178
gap_vs_max,1.3646513837417746
ratio_lt20_2_over_5,1.342426928639948
mean_dist_2min,1.3023294920991115
cnt_cg_30min,1.2541403612821462
hour_cos,1.2387076724342214
mean_abs_amp_2min,1.226496464829635
rate_last_5min,1.222130845436937
elapsed_sec,1.2132706887974312
min_dist_5min,1.209467442141893
mean_abs_amp_5min,1.1760041860645614
log1p_cnt_all_10min,1.172012513016602
doy_cos,1.1658618006591923
amp_abs_mean_sofar,1.1620488743971777
ratio_cg_5_over_30,1.0988061141281638
mean_dist_5min,1.0968553951671927
doy_sin,1.0891047032628134
ratio_far_vs_close_30min,1.0837983037762724
log1p_cnt_all_30min,1.0795381308926775
mean_dist_10min,1.0613174287614378
log1p_cnt_cg_5min,1.0511340798132485
min_dist_2min,1.050813622197269
log1p_cnt_cg_30min,1.038035594546833
amp_abs_last3_mean,1.0296176589912294
mean_abs_amp_10min,1.0119442284206819
cnt_lt20_30min,0.9652541732176696
ratio_all_2_over_5,0.9424849863792467
cnt_cg_2min,0.9398638404545494
mean_dist_30min,0.9282669956800517
dist_last5_mean,0.923742106566171
gap_median_sofar,0.8527134867015382
rate_decel_5_vs_30,0.8464556083347837
ratio_far_vs_close_5min,0.8387953168047227
cnt_lt20_5min,0.8209702513915623
cnt_cg_5min,0.8103219174128174
share_lt20_10min,0.8100865518902101
log1p_elapsed_per_rank,0.7911019365609495
gap_mean_sofar,0.7865395967213852
gap_prev_alert,0.7796104701169436
cnt_20_30_2min,0.7781121931600319
share_lt20_30min,0.7690755121044631
exhaustion_score,0.7665015173885865
airport,0.7391720443050508
share_cg_5min,0.7352662009969565
min_dist_10min,0.7321482023334617
hour_sin,0.7198497347833006
gap_std_sofar,0.6762094945647718
rank_in_alert,0.6636055703937104
rate_decel_2_vs_10,0.6620811533762425
retreat_score,0.6342183446927149
log1p_cnt_cg_10min,0.6314467432876621
log1p_gap_prev_alert,0.6241518356042388
cnt_20_30_30min,0.6138776846696502
cnt_20_30_5min,0.5945449912977553
cnt_all_30min,0.5926524094484319
gap_trend_3_vs_all,0.5898167259782435
gap_max_sofar,0.5864689748148618
ratio_cg_2_over_5,0.5637098922842232
cnt_20_30_10min,0.5512724082133933
share_lt20_5min,0.5370442894946102
cnt_all_5min,0.5307701658459298
log1p_cnt_all_5min,0.5265447552444404
gap_vs_median,0.5107619656519936
cnt_lt20_2min,0.5038763355169635
mean_abs_amp_30min,0.5011565782740993
cnt_cg_10min,0.4661483935838541
log1p_gap_max_sofar,0.43515300496015813
cnt_all_10min,0.41981212184903904
log1p_cnt_all_2min,0.41254006677744043
log1p_cnt_lt20_30min,0.40973782668839304
ratio_all_5_over_30,0.3873057583880334
ratio_far_vs_close_10min,0.38214652228229945
log1p_cnt_lt20_5min,0.3793087901501854
gap_is_new_max,0.34554191809556234
cnt_all_2min,0.30205522154409353
log1p_gap_mean_sofar,0.23843785415252025
rate_last_10min,0.20275324954858512
rate_last_2min,0.09166113411872415
gap_since_last_cg_lt20_sec,0.0
gap_since_last_lt20_sec,0.0
log1p_gap_since_last_lt20_sec,0.0
log1p_gap_since_last_cg_lt20_sec,0.0
